Date,Description,Category,Amount,Balance
2025-01-01,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,4012.51
2025-01-01,Spotify Premium,Subscriptions,-10.99,4001.52
2025-01-01,TFL CONTACTLESS,Transport,-5.36,3996.16
2025-01-02,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-148.35,3847.81
2025-01-02,M&S Simply Food,Groceries,-83.86,3763.95
2025-01-02,Costa Coffee,Eating Out,-5.57,3758.38
2025-01-03,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-43.79,3714.59
2025-01-03,Sainsbury's Local,Groceries,-74.72,3639.87
2025-01-03,Monmouth Coffee,Eating Out,-5.48,3634.39
2025-01-03,Waterstones,Shopping,-24.99,3609.40
2025-01-04,Netflix,Subscriptions,-15.99,3593.41
2025-01-05,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,3551.41
2025-01-06,The Churchill Arms,Eating Out,-40.73,3510.68
2025-01-07,TFL CONTACTLESS,Transport,-4.39,3506.29
2025-01-07,Waitrose,Groceries,-29.40,3476.89
2025-01-08,TFL CONTACTLESS,Transport,-7.76,3469.13
2025-01-08,Sainsbury's,Groceries,-72.23,3396.90
2025-01-08,Starbucks,Eating Out,-3.75,3393.15
2025-01-08,ATM WITHDRAWAL,Cash,-43.48,3349.67
2025-01-09,DIRECT DEBIT - THAMES WATER,Bills,-33.90,3315.77
2025-01-09,The Times Digital,Subscriptions,-26.00,3289.77
2025-01-09,Amazon Prime,Subscriptions,-8.99,3280.78
2025-01-09,UBER *TRIP,Transport,-13.00,3267.78
2025-01-09,Caffe Nero,Eating Out,-4.23,3263.55
2025-01-09,Pret A Manger,Eating Out,-49.97,3213.58
2025-01-11,Caffe Nero,Eating Out,-3.57,3210.01
2025-01-12,Sainsbury's Local,Groceries,-36.50,3173.51
2025-01-13,Costa Coffee,Eating Out,-3.84,3169.67
2025-01-13,Leon,Eating Out,-50.04,3119.63
2025-01-14,TFL CONTACTLESS,Transport,-7.13,3112.50
2025-01-15,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,3084.50
2025-01-15,Franco Manca,Eating Out,-53.29,3031.21
2025-01-17,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-153.33,2877.88
2025-01-17,TFL CONTACTLESS,Transport,-3.71,2874.17
2025-01-17,Cote Brasserie,Eating Out,-33.99,2840.18
2025-01-17,Ye Olde Cheshire Cheese,Eating Out,-39.78,2800.40
2025-01-18,TFL CONTACTLESS,Transport,-5.21,2795.19
2025-01-18,Monmouth Coffee,Eating Out,-4.60,2790.59
2025-01-18,Nando's,Eating Out,-38.43,2752.16
2025-01-18,Amazon.co.uk,Shopping,-75.08,2677.08
2025-01-19,Sainsbury's Local,Groceries,-59.60,2617.48
2025-01-20,PureGym Direct Debit,Health & Fitness,-29.99,2587.49
2025-01-20,TFL CONTACTLESS,Transport,-4.38,2583.11
2025-01-20,UBER *TRIP,Transport,-22.57,2560.54
2025-01-20,Honest Burgers,Eating Out,-18.15,2542.39
2025-01-21,TFL CONTACTLESS,Transport,-4.03,2538.36
2025-01-21,Monmouth Coffee,Eating Out,-4.31,2534.05
2025-01-22,Sainsbury's,Groceries,-80.12,2453.93
2025-01-22,Monmouth Coffee,Eating Out,-4.24,2449.69
2025-01-23,TFL CONTACTLESS,Transport,-7.15,2442.54
2025-01-23,Sainsbury's,Groceries,-13.50,2429.04
2025-01-23,Costa Coffee,Eating Out,-5.79,2423.25
2025-01-24,SALARY - MCKINSEY & COMPANY,Income,5248.31,7671.56
2025-01-24,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,7171.56
2025-01-24,Costa Coffee,Eating Out,-4.52,7167.04
2025-01-25,The Ship Tavern,Eating Out,-32.10,7134.94
2025-01-26,TFL CONTACTLESS,Transport,-3.38,7131.56
2025-01-26,UBER *TRIP,Transport,-14.87,7116.69
2025-01-26,Pret A Manger,Eating Out,-5.17,7111.52
2025-01-27,Murdock London Barbers,Personal Care,-38.00,7073.52
2025-01-28,Sainsbury's,Groceries,-21.18,7052.34
2025-01-28,Pret A Manger,Eating Out,-3.60,7048.74
2025-01-29,Sainsbury's,Groceries,-26.85,7021.89
2025-01-30,TFL CONTACTLESS,Transport,-4.97,7016.92
2025-01-30,Costa Coffee,Eating Out,-5.26,7011.66
2025-01-30,The Lamb & Flag,Eating Out,-24.34,6987.32
2025-01-31,TFL CONTACTLESS,Transport,-4.85,6982.47
2025-01-31,Caffe Nero,Eating Out,-4.75,6977.72
2025-01-31,ASOS,Shopping,-10.18,6967.54
2025-01-31,Timpson Dry Cleaning,Services,-13.26,6954.28
