Date,Description,Category,Amount,Balance
2025-02-01,TFL CONTACTLESS,Transport,-5.96,6736.80
2025-02-01,Costa Coffee,Eating Out,-5.72,6731.08
2025-02-02,The Times Digital,Subscriptions,-26.00,6705.08
2025-02-02,TFL CONTACTLESS,Transport,-6.15,6698.93
2025-02-02,Monmouth Coffee,Eating Out,-5.11,6693.82
2025-02-03,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,4843.82
2025-02-03,The Lamb & Flag,Eating Out,-28.69,4815.13
2025-02-04,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-159.20,4655.93
2025-02-04,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-43.34,4612.59
2025-02-04,TFL CONTACTLESS,Transport,-2.84,4609.75
2025-02-04,UBER *TRIP,Transport,-20.15,4589.60
2025-02-04,Waitrose,Groceries,-22.13,4567.47
2025-02-05,Amazon Prime,Subscriptions,-8.99,4558.48
2025-02-05,Waitrose,Groceries,-27.24,4531.24
2025-02-05,Pret A Manger,Eating Out,-5.14,4526.10
2025-02-06,Netflix,Subscriptions,-15.99,4510.11
2025-02-06,Spotify Premium,Subscriptions,-10.99,4499.12
2025-02-06,TFL CONTACTLESS,Transport,-6.83,4492.29
2025-02-06,Pret A Manger,Eating Out,-3.33,4488.96
2025-02-07,TFL CONTACTLESS,Transport,-3.14,4485.82
2025-02-07,UBER *TRIP,Transport,-21.46,4464.36
2025-02-07,Tesco Express,Groceries,-42.12,4422.24
2025-02-07,Caffe Nero,Eating Out,-4.51,4417.73
2025-02-07,Dishoom,Eating Out,-30.48,4387.25
2025-02-08,TFL CONTACTLESS,Transport,-3.18,4384.07
2025-02-08,Tesco Superstore,Groceries,-15.54,4368.53
2025-02-08,WHSmith,Shopping,-39.92,4328.61
2025-02-09,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,4286.61
2025-02-09,Monmouth Coffee,Eating Out,-3.61,4283.00
2025-02-09,Wagamama,Eating Out,-49.57,4233.43
2025-02-10,TFL CONTACTLESS,Transport,-2.98,4230.45
2025-02-10,Monmouth Coffee,Eating Out,-3.41,4227.04
2025-02-10,ATM WITHDRAWAL,Cash,-99.03,4128.01
2025-02-11,Nando's,Eating Out,-39.49,4088.52
2025-02-12,TFL CONTACTLESS,Transport,-4.68,4083.84
2025-02-13,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-159.26,3924.58
2025-02-13,TFL CONTACTLESS,Transport,-5.73,3918.85
2025-02-13,Costa Coffee,Eating Out,-3.38,3915.47
2025-02-14,DIRECT DEBIT - THAMES WATER,Bills,-37.64,3877.83
2025-02-14,UBER *TRIP,Transport,-31.87,3845.96
2025-02-14,Pret A Manger,Eating Out,-4.96,3841.00
2025-02-15,TFL CONTACTLESS,Transport,-4.39,3836.61
2025-02-15,Sainsbury's,Groceries,-84.94,3751.67
2025-02-15,Costa Coffee,Eating Out,-4.25,3747.42
2025-02-16,PureGym Direct Debit,Health & Fitness,-29.99,3717.43
2025-02-16,Monmouth Coffee,Eating Out,-3.84,3713.59
2025-02-17,TFL CONTACTLESS,Transport,-5.57,3708.02
2025-02-17,Monmouth Coffee,Eating Out,-3.30,3704.72
2025-02-18,Tesco Express,Groceries,-82.61,3622.11
2025-02-18,Pret A Manger,Eating Out,-4.29,3617.82
2025-02-18,The Lamb & Flag,Eating Out,-42.80,3575.02
2025-02-20,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,3547.02
2025-02-20,TFL CONTACTLESS,Transport,-5.87,3541.15
2025-02-20,ATM WITHDRAWAL,Cash,-88.43,3452.72
2025-02-21,TFL CONTACTLESS,Transport,-6.92,3445.80
2025-02-22,TFL CONTACTLESS,Transport,-7.83,3437.97
2025-02-22,UBER *TRIP,Transport,-13.25,3424.72
2025-02-22,Leon,Eating Out,-18.44,3406.28
2025-02-22,Timpson Dry Cleaning,Services,-25.07,3381.21
2025-02-23,TFL CONTACTLESS,Transport,-6.08,3375.13
2025-02-23,Ottolenghi,Eating Out,-64.93,3310.20
2025-02-25,Sainsbury's Local,Groceries,-20.81,3289.39
2025-02-26,SALARY - MCKINSEY & COMPANY,Income,5125.68,8415.07
2025-02-26,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,7915.07
2025-02-26,TFL CONTACTLESS,Transport,-4.19,7910.88
2025-02-26,Waitrose,Groceries,-45.06,7865.82
2025-02-26,Monmouth Coffee,Eating Out,-4.67,7861.15
2025-02-27,TFL CONTACTLESS,Transport,-5.50,7855.65
