Date,Description,Category,Amount,Balance
2025-03-01,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-156.14,5768.67
2025-03-01,TFL CONTACTLESS,Transport,-5.32,5763.35
2025-03-01,M&S Simply Food,Groceries,-68.24,5695.11
2025-03-01,Monmouth Coffee,Eating Out,-4.24,5690.87
2025-03-02,TFL CONTACTLESS,Transport,-6.82,5684.05
2025-03-03,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,3834.05
2025-03-03,TFL CONTACTLESS,Transport,-6.00,3828.05
2025-03-03,Monmouth Coffee,Eating Out,-4.06,3823.99
2025-03-04,Spotify Premium,Subscriptions,-10.99,3813.00
2025-03-04,UBER *TRIP,Transport,-20.13,3792.87
2025-03-05,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-41.07,3751.80
2025-03-05,TFL CONTACTLESS,Transport,-3.44,3748.36
2025-03-06,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,3706.36
2025-03-06,TFL CONTACTLESS,Transport,-8.19,3698.17
2025-03-06,Waitrose,Groceries,-69.77,3628.40
2025-03-07,Netflix,Subscriptions,-15.99,3612.41
2025-03-07,Amazon Prime,Subscriptions,-8.99,3603.42
2025-03-07,Pret A Manger,Eating Out,-3.50,3599.92
2025-03-08,Starbucks,Eating Out,-3.66,3596.26
2025-03-09,TFL CONTACTLESS,Transport,-6.74,3589.52
2025-03-09,Starbucks,Eating Out,-3.30,3586.22
2025-03-10,The Times Digital,Subscriptions,-26.00,3560.22
2025-03-10,Monmouth Coffee,Eating Out,-4.33,3555.89
2025-03-10,Franco Manca,Eating Out,-32.54,3523.35
2025-03-10,Zara,Shopping,-31.54,3491.81
2025-03-11,DIRECT DEBIT - THAMES WATER,Bills,-35.18,3456.63
2025-03-11,TFL CONTACTLESS,Transport,-3.65,3452.98
2025-03-11,Starbucks,Eating Out,-4.33,3448.65
2025-03-12,TFL CONTACTLESS,Transport,-3.01,3445.64
2025-03-12,Monmouth Coffee,Eating Out,-3.50,3442.14
2025-03-12,British Red Cross DD,Charity,-15.00,3427.14
2025-03-13,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-99.98,3327.16
2025-03-13,PureGym Direct Debit,Health & Fitness,-29.99,3297.17
2025-03-13,Monmouth Coffee,Eating Out,-3.69,3293.48
2025-03-14,TFL CONTACTLESS,Transport,-4.90,3288.58
2025-03-14,Sainsbury's,Groceries,-70.43,3218.15
2025-03-14,The Eagle,Eating Out,-34.35,3183.80
2025-03-15,ATM WITHDRAWAL,Cash,-66.51,3117.29
2025-03-16,TFL CONTACTLESS,Transport,-5.95,3111.34
2025-03-17,TFL CONTACTLESS,Transport,-5.25,3106.09
2025-03-17,Timpson Dry Cleaning,Services,-19.57,3086.52
2025-03-20,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,3058.52
2025-03-20,Pret A Manger,Eating Out,-5.04,3053.48
2025-03-21,TFL CONTACTLESS,Transport,-3.04,3050.44
2025-03-22,TFL CONTACTLESS,Transport,-4.88,3045.56
2025-03-22,UBER *TRIP,Transport,-24.88,3020.68
2025-03-22,Pret A Manger,Eating Out,-4.55,3016.13
2025-03-22,The Lamb & Flag,Eating Out,-32.31,2983.82
2025-03-24,M&S Simply Food,Groceries,-20.26,2963.56
2025-03-24,Pizza Express,Eating Out,-33.33,2930.23
2025-03-26,SALARY - MCKINSEY & COMPANY,Income,5152.89,8083.12
2025-03-26,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,7583.12
2025-03-26,TFL CONTACTLESS,Transport,-8.12,7575.00
2025-03-26,Sainsbury's,Groceries,-16.32,7558.68
2025-03-26,Monmouth Coffee,Eating Out,-4.99,7553.69
2025-03-26,Murdock London Barbers,Personal Care,-38.00,7515.69
2025-03-27,TFL CONTACTLESS,Transport,-8.34,7507.35
2025-03-27,Costa Coffee,Eating Out,-4.15,7503.20
2025-03-28,TFL CONTACTLESS,Transport,-3.03,7500.17
2025-03-29,Tesco Express,Groceries,-74.11,7426.06
2025-03-29,Pret A Manger,Eating Out,-5.67,7420.39
2025-03-29,Nando's,Eating Out,-44.06,7376.33
2025-03-30,TFL CONTACTLESS,Transport,-4.84,7371.49
2025-03-31,Sainsbury's Local,Groceries,-23.37,7348.12
2025-03-31,Starbucks,Eating Out,-4.82,7343.30
2025-03-31,Ye Olde Cheshire Cheese,Eating Out,-25.40,7317.90
