Date,Description,Category,Amount,Balance
2025-04-01,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,2791.20
2025-04-01,TFL CONTACTLESS,Transport,-5.62,2785.58
2025-04-02,TFL CONTACTLESS,Transport,-4.19,2781.39
2025-04-03,TFL CONTACTLESS,Transport,-6.54,2774.85
2025-04-03,Pret A Manger,Eating Out,-4.28,2770.57
2025-04-04,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-37.52,2733.05
2025-04-04,Netflix,Subscriptions,-15.99,2717.06
2025-04-05,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-150.03,2567.03
2025-04-05,Starbucks,Eating Out,-4.61,2562.42
2025-04-05,Amazon.co.uk,Shopping,-37.14,2525.28
2025-04-06,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,2483.28
2025-04-06,Spotify Premium,Subscriptions,-10.99,2472.29
2025-04-06,WHSmith,Shopping,-31.71,2440.58
2025-04-07,TFL CONTACTLESS,Transport,-2.83,2437.75
2025-04-07,Caffe Nero,Eating Out,-3.36,2434.39
2025-04-08,TFL CONTACTLESS,Transport,-7.08,2427.31
2025-04-08,Caffe Nero,Eating Out,-4.21,2423.10
2025-04-08,Honest Burgers,Eating Out,-19.36,2403.74
2025-04-09,The Times Digital,Subscriptions,-26.00,2377.74
2025-04-09,Monmouth Coffee,Eating Out,-5.66,2372.08
2025-04-09,The Ivy Cafe,Eating Out,-49.44,2322.64
2025-04-11,DIRECT DEBIT - THAMES WATER,Bills,-34.73,2287.91
2025-04-11,Pret A Manger,Eating Out,-5.43,2282.48
2025-04-12,Murdock London Barbers,Personal Care,-38.00,2244.48
2025-04-13,Amazon Prime,Subscriptions,-8.99,2235.49
2025-04-13,TFL CONTACTLESS,Transport,-7.19,2228.30
2025-04-13,Monmouth Coffee,Eating Out,-4.19,2224.11
2025-04-13,The Ship Tavern,Eating Out,-30.62,2193.49
2025-04-14,TFL CONTACTLESS,Transport,-3.41,2190.08
2025-04-14,Waitrose,Groceries,-77.09,2112.99
2025-04-14,Pizza Express,Eating Out,-52.04,2060.95
2025-04-15,TFL CONTACTLESS,Transport,-5.22,2055.73
2025-04-15,UBER *TRIP,Transport,-15.07,2040.66
2025-04-15,Sainsbury's,Groceries,-74.34,1966.32
2025-04-15,WHSmith,Shopping,-45.80,1920.52
2025-04-16,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,1892.52
2025-04-16,TFL CONTACTLESS,Transport,-3.80,1888.72
2025-04-16,Honest Burgers,Eating Out,-61.22,1827.50
2025-04-17,Waitrose,Groceries,-27.96,1799.54
2025-04-18,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-137.36,1662.18
2025-04-18,Sainsbury's Local,Groceries,-72.67,1589.51
2025-04-18,Pret A Manger,Eating Out,-5.65,1583.86
2025-04-19,PureGym Direct Debit,Health & Fitness,-29.99,1553.87
2025-04-19,TFL CONTACTLESS,Transport,-8.26,1545.61
2025-04-20,TFL CONTACTLESS,Transport,-5.75,1539.86
2025-04-20,M&S Simply Food,Groceries,-66.97,1472.89
2025-04-21,TFL CONTACTLESS,Transport,-3.09,1469.80
2025-04-24,Tesco Superstore,Groceries,-45.31,1424.49
2025-04-24,Starbucks,Eating Out,-5.16,1419.33
2025-04-24,Timpson Dry Cleaning,Services,-20.63,1398.70
2025-04-25,SALARY - MCKINSEY & COMPANY,Income,5156.76,6555.46
2025-04-25,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,6055.46
2025-04-25,TFL CONTACTLESS,Transport,-4.22,6051.24
2025-04-25,Sainsbury's Local,Groceries,-29.14,6022.10
2025-04-25,Caffe Nero,Eating Out,-4.60,6017.50
2025-04-28,Waterstones,Shopping,-39.16,5978.34
2025-04-29,Tesco Express,Groceries,-62.94,5915.40
2025-04-29,Monmouth Coffee,Eating Out,-5.28,5910.12
2025-04-30,The Churchill Arms,Eating Out,-14.77,5895.35
