Date,Description,Category,Amount,Balance
2025-05-01,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,2932.98
2025-05-01,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-156.31,2776.67
2025-05-01,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-40.53,2736.14
2025-05-01,Sainsbury's,Groceries,-76.65,2659.49
2025-05-01,Caffe Nero,Eating Out,-5.41,2654.08
2025-05-02,The Times Digital,Subscriptions,-26.00,2628.08
2025-05-03,Spotify Premium,Subscriptions,-10.99,2617.09
2025-05-03,Costa Coffee,Eating Out,-4.47,2612.62
2025-05-04,TFL CONTACTLESS,Transport,-6.10,2606.52
2025-05-04,Waitrose,Groceries,-62.46,2544.06
2025-05-04,Ye Olde Cheshire Cheese,Eating Out,-15.95,2528.11
2025-05-04,Zara,Shopping,-33.48,2494.63
2025-05-05,ATM WITHDRAWAL,Cash,-78.27,2416.36
2025-05-06,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,2374.36
2025-05-06,Netflix,Subscriptions,-15.99,2358.37
2025-05-06,TFL CONTACTLESS,Transport,-8.09,2350.28
2025-05-07,TFL CONTACTLESS,Transport,-6.08,2344.20
2025-05-07,The Ship Tavern,Eating Out,-43.38,2300.82
2025-05-07,Boots,Shopping,-41.85,2258.97
2025-05-08,DIRECT DEBIT - THAMES WATER,Bills,-34.21,2224.76
2025-05-08,Starbucks,Eating Out,-5.27,2219.49
2025-05-08,The Lamb & Flag,Eating Out,-18.32,2201.17
2025-05-09,TFL CONTACTLESS,Transport,-7.98,2193.19
2025-05-09,Starbucks,Eating Out,-3.93,2189.26
2025-05-10,TFL CONTACTLESS,Transport,-4.94,2184.32
2025-05-10,Honest Burgers,Eating Out,-44.01,2140.31
2025-05-11,Monmouth Coffee,Eating Out,-5.02,2135.29
2025-05-12,TFL CONTACTLESS,Transport,-8.17,2127.12
2025-05-12,UBER *TRIP,Transport,-24.25,2102.87
2025-05-12,Waitrose,Groceries,-21.56,2081.31
2025-05-12,The Ivy Cafe,Eating Out,-38.00,2043.31
2025-05-13,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-95.96,1947.35
2025-05-13,Amazon Prime,Subscriptions,-8.99,1938.36
2025-05-13,Starbucks,Eating Out,-4.65,1933.71
2025-05-14,Tesco Superstore,Groceries,-82.34,1851.37
2025-05-15,TFL CONTACTLESS,Transport,-3.93,1847.44
2025-05-15,Monmouth Coffee,Eating Out,-5.66,1841.78
2025-05-16,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,1813.78
2025-05-16,M&S Simply Food,Groceries,-55.43,1758.35
2025-05-19,TFL CONTACTLESS,Transport,-6.17,1752.18
2025-05-19,Pret A Manger,Eating Out,-3.83,1748.35
2025-05-19,Franco Manca,Eating Out,-33.55,1714.80
2025-05-20,PureGym Direct Debit,Health & Fitness,-29.99,1684.81
2025-05-20,TFL CONTACTLESS,Transport,-7.53,1677.28
2025-05-20,Caffe Nero,Eating Out,-4.47,1672.81
2025-05-21,TFL CONTACTLESS,Transport,-4.18,1668.63
2025-05-22,TFL CONTACTLESS,Transport,-6.77,1661.86
2025-05-22,Honest Burgers,Eating Out,-30.73,1631.13
2025-05-23,SALARY - MCKINSEY & COMPANY,Income,5256.25,6887.38
2025-05-23,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,6387.38
2025-05-23,TFL CONTACTLESS,Transport,-4.52,6382.86
2025-05-24,The Eagle,Eating Out,-21.12,6361.74
2025-05-26,TFL CONTACTLESS,Transport,-6.70,6355.04
2025-05-26,Costa Coffee,Eating Out,-5.00,6350.04
2025-05-27,Tesco Superstore,Groceries,-67.65,6282.39
2025-05-27,Caffe Nero,Eating Out,-4.37,6278.02
2025-05-27,Boots,Shopping,-38.72,6239.30
2025-05-28,Waitrose,Groceries,-41.54,6197.76
2025-05-28,Pret A Manger,Eating Out,-3.44,6194.32
2025-05-29,Sainsbury's,Groceries,-53.62,6140.70
2025-05-30,TFL CONTACTLESS,Transport,-7.39,6133.31
2025-05-30,Costa Coffee,Eating Out,-4.25,6129.06
2025-05-31,TFL CONTACTLESS,Transport,-7.34,6121.72
2025-05-31,ATM WITHDRAWAL,Cash,-85.17,6036.55
