Date,Description,Category,Amount,Balance
2025-06-01,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-41.48,4897.80
2025-06-01,Uniqlo,Shopping,-87.50,4810.30
2025-06-02,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,2960.30
2025-06-02,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-159.48,2800.82
2025-06-02,TFL CONTACTLESS,Transport,-4.49,2796.33
2025-06-02,Monmouth Coffee,Eating Out,-3.85,2792.48
2025-06-02,The Ivy Cafe,Eating Out,-29.86,2762.62
2025-06-03,Netflix,Subscriptions,-15.99,2746.63
2025-06-03,TFL CONTACTLESS,Transport,-6.15,2740.48
2025-06-03,Pret A Manger,Eating Out,-3.80,2736.68
2025-06-03,Leon,Eating Out,-63.60,2673.08
2025-06-04,TFL CONTACTLESS,Transport,-5.24,2667.84
2025-06-04,Monmouth Coffee,Eating Out,-4.73,2663.11
2025-06-04,Zara,Shopping,-69.69,2593.42
2025-06-05,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,2551.42
2025-06-05,TFL CONTACTLESS,Transport,-6.04,2545.38
2025-06-06,Spotify Premium,Subscriptions,-10.99,2534.39
2025-06-06,Amazon Prime,Subscriptions,-8.99,2525.40
2025-06-08,The Times Digital,Subscriptions,-26.00,2499.40
2025-06-08,TFL CONTACTLESS,Transport,-3.14,2496.26
2025-06-08,UBER *TRIP,Transport,-18.63,2477.63
2025-06-09,DIRECT DEBIT - THAMES WATER,Bills,-32.01,2445.62
2025-06-09,Sainsbury's Local,Groceries,-40.74,2404.88
2025-06-09,Pret A Manger,Eating Out,-5.80,2399.08
2025-06-10,TFL CONTACTLESS,Transport,-8.27,2390.81
2025-06-10,Starbucks,Eating Out,-4.70,2386.11
2025-06-11,Costa Coffee,Eating Out,-4.42,2381.69
2025-06-13,TFL CONTACTLESS,Transport,-3.37,2378.32
2025-06-13,Caffe Nero,Eating Out,-5.58,2372.74
2025-06-14,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-69.33,2303.41
2025-06-14,TFL CONTACTLESS,Transport,-7.15,2296.26
2025-06-14,Costa Coffee,Eating Out,-5.79,2290.47
2025-06-14,Murdock London Barbers,Personal Care,-38.00,2252.47
2025-06-14,British Red Cross DD,Charity,-15.00,2237.47
2025-06-15,TFL CONTACTLESS,Transport,-6.37,2231.10
2025-06-15,Caffe Nero,Eating Out,-4.85,2226.25
2025-06-15,Pizza Express,Eating Out,-58.65,2167.60
2025-06-16,Caffe Nero,Eating Out,-5.72,2161.88
2025-06-16,The Eagle,Eating Out,-37.08,2124.80
2025-06-17,TFL CONTACTLESS,Transport,-4.31,2120.49
2025-06-17,Caffe Nero,Eating Out,-4.10,2116.39
2025-06-18,TFL CONTACTLESS,Transport,-3.26,2113.13
2025-06-18,Starbucks,Eating Out,-4.03,2109.10
2025-06-18,Pret A Manger,Eating Out,-48.91,2060.19
2025-06-19,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,2032.19
2025-06-19,TFL CONTACTLESS,Transport,-4.17,2028.02
2025-06-19,Tesco Superstore,Groceries,-25.31,2002.71
2025-06-20,PureGym Direct Debit,Health & Fitness,-29.99,1972.72
2025-06-20,TFL CONTACTLESS,Transport,-5.95,1966.77
2025-06-20,The Lamb & Flag,Eating Out,-20.81,1945.96
2025-06-20,Waterstones,Shopping,-18.44,1927.52
2025-06-21,Sainsbury's Local,Groceries,-77.95,1849.57
2025-06-21,The Lamb & Flag,Eating Out,-42.61,1806.96
2025-06-21,John Lewis,Shopping,-59.68,1747.28
2025-06-22,TFL CONTACTLESS,Transport,-3.69,1743.59
2025-06-22,Sainsbury's Local,Groceries,-13.50,1730.09
2025-06-23,Pret A Manger,Eating Out,-5.43,1724.66
2025-06-23,Timpson Dry Cleaning,Services,-16.67,1707.99
2025-06-25,Franco Manca,Eating Out,-39.71,1668.28
2025-06-25,The Eagle,Eating Out,-41.07,1627.21
2025-06-26,TFL CONTACTLESS,Transport,-5.13,1622.08
2025-06-26,Sainsbury's Local,Groceries,-69.03,1553.05
2025-06-27,SALARY - MCKINSEY & COMPANY,Income,5188.09,6741.14
2025-06-27,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,6241.14
2025-06-27,Pret A Manger,Eating Out,-26.82,6214.32
2025-06-28,TFL CONTACTLESS,Transport,-6.73,6207.59
2025-06-28,Tesco Superstore,Groceries,-65.67,6141.92
2025-06-28,Starbucks,Eating Out,-4.27,6137.65
2025-06-29,Caffe Nero,Eating Out,-3.95,6133.70
2025-06-30,TFL CONTACTLESS,Transport,-5.48,6128.22
2025-06-30,Tesco Superstore,Groceries,-78.93,6049.29
