Date,Description,Category,Amount,Balance
2025-07-01,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,3604.50
2025-07-01,TFL CONTACTLESS,Transport,-5.87,3598.63
2025-07-01,M&S Simply Food,Groceries,-34.07,3564.56
2025-07-02,The Times Digital,Subscriptions,-26.00,3538.56
2025-07-03,Spotify Premium,Subscriptions,-10.99,3527.57
2025-07-03,Sainsbury's,Groceries,-38.61,3488.96
2025-07-03,Ye Olde Cheshire Cheese,Eating Out,-44.59,3444.37
2025-07-04,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-37.74,3406.63
2025-07-04,Starbucks,Eating Out,-5.55,3401.08
2025-07-05,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-147.17,3253.91
2025-07-05,Netflix,Subscriptions,-15.99,3237.92
2025-07-05,TFL CONTACTLESS,Transport,-4.77,3233.15
2025-07-05,Tesco Express,Groceries,-73.59,3159.56
2025-07-05,Dishoom,Eating Out,-39.67,3119.89
2025-07-06,Pret A Manger,Eating Out,-4.04,3115.85
2025-07-07,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,3073.85
2025-07-07,ASOS,Shopping,-19.95,3053.90
2025-07-09,TFL CONTACTLESS,Transport,-5.95,3047.95
2025-07-10,DIRECT DEBIT - THAMES WATER,Bills,-36.64,3011.31
2025-07-10,TFL CONTACTLESS,Transport,-5.90,3005.41
2025-07-10,Waterstones,Shopping,-72.06,2933.35
2025-07-10,Murdock London Barbers,Personal Care,-38.00,2895.35
2025-07-11,PureGym Direct Debit,Health & Fitness,-29.99,2865.36
2025-07-12,Amazon Prime,Subscriptions,-8.99,2856.37
2025-07-13,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-70.25,2786.12
2025-07-13,UBER *TRIP,Transport,-27.00,2759.12
2025-07-13,Zara,Shopping,-119.18,2639.94
2025-07-14,Sainsbury's,Groceries,-74.17,2565.77
2025-07-14,Pret A Manger,Eating Out,-3.96,2561.81
2025-07-15,TFL CONTACTLESS,Transport,-5.40,2556.41
2025-07-15,Waitrose,Groceries,-81.47,2474.94
2025-07-15,Starbucks,Eating Out,-4.32,2470.62
2025-07-15,Ye Olde Cheshire Cheese,Eating Out,-33.08,2437.54
2025-07-16,TFL CONTACTLESS,Transport,-4.63,2432.91
2025-07-16,Sainsbury's,Groceries,-63.34,2369.57
2025-07-16,Nando's,Eating Out,-39.60,2329.97
2025-07-17,TFL CONTACTLESS,Transport,-3.88,2326.09
2025-07-18,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,2298.09
2025-07-19,TFL CONTACTLESS,Transport,-6.78,2291.31
2025-07-19,Cote Brasserie,Eating Out,-18.44,2272.87
2025-07-21,Waitrose,Groceries,-75.17,2197.70
2025-07-21,Costa Coffee,Eating Out,-4.58,2193.12
2025-07-22,TFL CONTACTLESS,Transport,-6.06,2187.06
2025-07-22,UBER *TRIP,Transport,-15.50,2171.56
2025-07-22,ATM WITHDRAWAL,Cash,-86.70,2084.86
2025-07-23,Monmouth Coffee,Eating Out,-4.97,2079.89
2025-07-24,TFL CONTACTLESS,Transport,-4.13,2075.76
2025-07-24,Tesco Express,Groceries,-55.54,2020.22
2025-07-24,Timpson Dry Cleaning,Services,-19.95,2000.27
2025-07-25,TFL CONTACTLESS,Transport,-7.22,1993.05
2025-07-25,Costa Coffee,Eating Out,-3.64,1989.41
2025-07-26,TFL CONTACTLESS,Transport,-3.05,1986.36
2025-07-26,UBER *TRIP,Transport,-34.19,1952.17
2025-07-27,TFL CONTACTLESS,Transport,-7.04,1945.13
2025-07-27,UBER *TRIP,Transport,-14.90,1930.23
2025-07-27,Sainsbury's Local,Groceries,-56.60,1873.63
2025-07-27,Pret A Manger,Eating Out,-4.78,1868.85
2025-07-28,SALARY - MCKINSEY & COMPANY,Income,5148.75,7017.60
2025-07-28,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,6517.60
2025-07-28,Zara,Shopping,-10.46,6507.14
2025-07-28,ATM WITHDRAWAL,Cash,-98.42,6408.72
2025-07-30,TFL CONTACTLESS,Transport,-6.82,6401.90
2025-07-30,M&S Simply Food,Groceries,-84.80,6317.10
2025-07-30,Caffe Nero,Eating Out,-4.81,6312.29
2025-07-30,Honest Burgers,Eating Out,-60.36,6251.93
2025-07-31,The Eagle,Eating Out,-34.78,6217.15
