Date,Description,Category,Amount,Balance
2025-08-01,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,4366.93
2025-08-01,Waitrose,Groceries,-36.38,4330.55
2025-08-01,Booking.com,Travel,-639.54,3691.01
2025-08-02,TFL CONTACTLESS,Transport,-3.80,3687.21
2025-08-02,Pizza Express,Eating Out,-30.97,3656.24
2025-08-03,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-148.29,3507.95
2025-08-03,TFL CONTACTLESS,Transport,-3.55,3504.40
2025-08-03,Pret A Manger,Eating Out,-5.66,3498.74
2025-08-04,UBER *TRIP,Transport,-34.15,3464.59
2025-08-04,Sainsbury's,Groceries,-59.77,3404.82
2025-08-04,Starbucks,Eating Out,-5.79,3399.03
2025-08-05,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-35.03,3364.00
2025-08-05,TFL CONTACTLESS,Transport,-5.87,3358.13
2025-08-05,Pret A Manger,Eating Out,-3.45,3354.68
2025-08-06,Spotify Premium,Subscriptions,-10.99,3343.69
2025-08-07,Netflix,Subscriptions,-15.99,3327.70
2025-08-07,The Times Digital,Subscriptions,-26.00,3301.70
2025-08-07,Uniqlo,Shopping,-44.80,3256.90
2025-08-08,Monmouth Coffee,Eating Out,-3.55,3253.35
2025-08-09,Tesco Superstore,Groceries,-37.34,3216.01
2025-08-10,DIRECT DEBIT - THAMES WATER,Bills,-34.28,3181.73
2025-08-10,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,3139.73
2025-08-10,TFL CONTACTLESS,Transport,-8.34,3131.39
2025-08-10,Caffe Nero,Eating Out,-4.16,3127.23
2025-08-11,TFL CONTACTLESS,Transport,-5.83,3121.40
2025-08-11,The Lamb & Flag,Eating Out,-44.63,3076.77
2025-08-12,TFL CONTACTLESS,Transport,-8.01,3068.76
2025-08-12,Leon,Eating Out,-62.60,3006.16
2025-08-13,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-75.33,2930.83
2025-08-13,Amazon Prime,Subscriptions,-8.99,2921.84
2025-08-13,Sainsbury's,Groceries,-80.40,2841.44
2025-08-14,TFL CONTACTLESS,Transport,-7.53,2833.91
2025-08-14,Monmouth Coffee,Eating Out,-4.29,2829.62
2025-08-15,PureGym Direct Debit,Health & Fitness,-29.99,2799.63
2025-08-15,TFL CONTACTLESS,Transport,-4.26,2795.37
2025-08-15,UBER *TRIP,Transport,-15.24,2780.13
2025-08-15,Costa Coffee,Eating Out,-5.50,2774.63
2025-08-15,EasyJet,Travel,-222.70,2551.93
2025-08-18,Tesco Express,Groceries,-59.96,2491.97
2025-08-18,Honest Burgers,Eating Out,-22.31,2469.66
2025-08-18,Timpson Dry Cleaning,Services,-16.01,2453.65
2025-08-19,TFL CONTACTLESS,Transport,-7.50,2446.15
2025-08-19,Boots,Shopping,-96.33,2349.82
2025-08-20,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,2321.82
2025-08-20,Pret A Manger,Eating Out,-5.37,2316.45
2025-08-21,Monmouth Coffee,Eating Out,-4.26,2312.19
2025-08-21,Dishoom,Eating Out,-48.16,2264.03
2025-08-23,Starbucks,Eating Out,-3.29,2260.74
2025-08-24,TFL CONTACTLESS,Transport,-5.55,2255.19
2025-08-26,SALARY - MCKINSEY & COMPANY,Income,5221.41,7476.60
2025-08-26,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,6976.60
2025-08-26,TFL CONTACTLESS,Transport,-7.40,6969.20
2025-08-26,UBER *TRIP,Transport,-34.23,6934.97
2025-08-26,Waitrose,Groceries,-9.93,6925.04
2025-08-26,Starbucks,Eating Out,-3.76,6921.28
2025-08-26,The Ship Tavern,Eating Out,-18.77,6902.51
2025-08-28,Caffe Nero,Eating Out,-5.67,6896.84
2025-08-29,Ottolenghi,Eating Out,-63.64,6833.20
2025-08-30,Starbucks,Eating Out,-3.46,6829.74
2025-08-31,TFL CONTACTLESS,Transport,-7.06,6822.68
