Date,Description,Category,Amount,Balance
2025-10-01,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,3338.54
2025-10-01,TFL CONTACTLESS,Transport,-7.61,3330.93
2025-10-02,Spotify Premium,Subscriptions,-10.99,3319.94
2025-10-02,The Times Digital,Subscriptions,-26.00,3293.94
2025-10-02,Cote Brasserie,Eating Out,-33.73,3260.21
2025-10-03,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-146.08,3114.13
2025-10-03,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-43.13,3071.00
2025-10-03,TFL CONTACTLESS,Transport,-4.19,3066.81
2025-10-03,Pret A Manger,Eating Out,-4.37,3062.44
2025-10-03,The Lamb & Flag,Eating Out,-42.25,3020.19
2025-10-03,Timpson Dry Cleaning,Services,-22.34,2997.85
2025-10-04,TFL CONTACTLESS,Transport,-6.16,2991.69
2025-10-04,UBER *TRIP,Transport,-15.37,2976.32
2025-10-05,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,2934.32
2025-10-05,Netflix,Subscriptions,-15.99,2918.33
2025-10-06,TFL CONTACTLESS,Transport,-5.79,2912.54
2025-10-07,Amazon Prime,Subscriptions,-8.99,2903.55
2025-10-08,UBER *TRIP,Transport,-16.54,2887.01
2025-10-10,TFL CONTACTLESS,Transport,-5.06,2881.95
2025-10-10,Waterstones,Shopping,-80.07,2801.88
2025-10-11,TFL CONTACTLESS,Transport,-4.57,2797.31
2025-10-11,Ye Olde Cheshire Cheese,Eating Out,-43.93,2753.38
2025-10-12,TFL CONTACTLESS,Transport,-4.74,2748.64
2025-10-13,TFL CONTACTLESS,Transport,-4.70,2743.94
2025-10-13,Monmouth Coffee,Eating Out,-4.89,2739.05
2025-10-14,DIRECT DEBIT - THAMES WATER,Bills,-28.19,2710.86
2025-10-14,TFL CONTACTLESS,Transport,-3.76,2707.10
2025-10-15,TFL CONTACTLESS,Transport,-5.71,2701.39
2025-10-15,Sainsbury's,Groceries,-83.96,2617.43
2025-10-15,Starbucks,Eating Out,-4.77,2612.66
2025-10-17,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,2584.66
2025-10-17,Monmouth Coffee,Eating Out,-3.59,2581.07
2025-10-18,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-125.81,2455.26
2025-10-18,Pret A Manger,Eating Out,-4.37,2450.89
2025-10-19,TFL CONTACTLESS,Transport,-3.45,2447.44
2025-10-19,M&S Simply Food,Groceries,-74.55,2372.89
2025-10-19,Starbucks,Eating Out,-5.75,2367.14
2025-10-19,The Eagle,Eating Out,-16.26,2350.88
2025-10-20,PureGym Direct Debit,Health & Fitness,-29.99,2320.89
2025-10-20,Pret A Manger,Eating Out,-4.51,2316.38
2025-10-20,The Ivy Cafe,Eating Out,-22.44,2293.94
2025-10-21,TFL CONTACTLESS,Transport,-5.71,2288.23
2025-10-21,Sainsbury's,Groceries,-32.34,2255.89
2025-10-21,Costa Coffee,Eating Out,-3.30,2252.59
2025-10-21,Cote Brasserie,Eating Out,-36.17,2216.42
2025-10-22,Waitrose,Groceries,-13.26,2203.16
2025-10-22,Nando's,Eating Out,-52.02,2151.14
2025-10-23,TFL CONTACTLESS,Transport,-7.96,2143.18
2025-10-23,ATM WITHDRAWAL,Cash,-96.83,2046.35
2025-10-24,SALARY - MCKINSEY & COMPANY,Income,5200.05,7246.40
2025-10-24,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,6746.40
2025-10-25,Waitrose,Groceries,-56.62,6689.78
2025-10-26,TFL CONTACTLESS,Transport,-4.79,6684.99
2025-10-26,Caffe Nero,Eating Out,-5.78,6679.21
2025-10-26,Cote Brasserie,Eating Out,-63.33,6615.88
2025-10-27,M&S Simply Food,Groceries,-53.54,6562.34
2025-10-27,ATM WITHDRAWAL,Cash,-99.83,6462.51
2025-10-28,Monmouth Coffee,Eating Out,-4.56,6457.95
2025-10-29,TFL CONTACTLESS,Transport,-6.95,6451.00
2025-10-29,M&S Simply Food,Groceries,-47.06,6403.94
2025-10-29,Costa Coffee,Eating Out,-4.15,6399.79
2025-10-30,M&S Simply Food,Groceries,-43.55,6356.24
2025-10-31,TFL CONTACTLESS,Transport,-7.47,6348.77
2025-10-31,Tesco Express,Groceries,-12.38,6336.39
2025-10-31,Starbucks,Eating Out,-4.21,6332.18
