Date,Description,Category,Amount,Balance
2025-11-01,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-42.72,5098.03
2025-11-01,Starbucks,Eating Out,-5.59,5092.44
2025-11-01,Dishoom,Eating Out,-51.77,5040.67
2025-11-02,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-150.13,4890.54
2025-11-02,TFL CONTACTLESS,Transport,-3.72,4886.82
2025-11-02,Waitrose,Groceries,-75.31,4811.51
2025-11-02,Caffe Nero,Eating Out,-5.01,4806.50
2025-11-02,Waterstones,Shopping,-117.88,4688.62
2025-11-03,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,2838.62
2025-11-03,Costa Coffee,Eating Out,-5.17,2833.45
2025-11-04,Netflix,Subscriptions,-15.99,2817.46
2025-11-04,Spotify Premium,Subscriptions,-10.99,2806.47
2025-11-04,TFL CONTACTLESS,Transport,-7.54,2798.93
2025-11-04,Caffe Nero,Eating Out,-4.37,2794.56
2025-11-05,The Times Digital,Subscriptions,-26.00,2768.56
2025-11-05,TFL CONTACTLESS,Transport,-7.20,2761.36
2025-11-05,Tesco Superstore,Groceries,-79.94,2681.42
2025-11-05,Pret A Manger,Eating Out,-5.56,2675.86
2025-11-06,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,2633.86
2025-11-06,Sainsbury's,Groceries,-73.13,2560.73
2025-11-07,Tesco Express,Groceries,-29.95,2530.78
2025-11-08,Pret A Manger,Eating Out,-3.87,2526.91
2025-11-09,Sainsbury's Local,Groceries,-29.00,2497.91
2025-11-11,DIRECT DEBIT - THAMES WATER,Bills,-38.00,2459.91
2025-11-11,Amazon Prime,Subscriptions,-8.99,2450.92
2025-11-11,TFL CONTACTLESS,Transport,-7.41,2443.51
2025-11-11,Costa Coffee,Eating Out,-4.63,2438.88
2025-11-11,ATM WITHDRAWAL,Cash,-48.00,2390.88
2025-11-12,Monmouth Coffee,Eating Out,-4.57,2386.31
2025-11-13,TFL CONTACTLESS,Transport,-3.74,2382.57
2025-11-13,Pret A Manger,Eating Out,-5.22,2377.35
2025-11-14,Tesco Superstore,Groceries,-19.35,2358.00
2025-11-15,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,2330.00
2025-11-16,UBER *TRIP,Transport,-31.21,2298.79
2025-11-16,Zara,Shopping,-91.70,2207.09
2025-11-17,TFL CONTACTLESS,Transport,-5.29,2201.80
2025-11-17,Nando's,Eating Out,-38.17,2163.63
2025-11-17,The Ship Tavern,Eating Out,-37.95,2125.68
2025-11-18,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-111.74,2013.94
2025-11-18,PureGym Direct Debit,Health & Fitness,-29.99,1983.95
2025-11-18,TFL CONTACTLESS,Transport,-5.14,1978.81
2025-11-18,Ottolenghi,Eating Out,-34.58,1944.23
2025-11-18,The Ship Tavern,Eating Out,-30.29,1913.94
2025-11-19,TFL CONTACTLESS,Transport,-6.66,1907.28
2025-11-19,Ottolenghi,Eating Out,-37.58,1869.70
2025-11-20,TFL CONTACTLESS,Transport,-4.15,1865.55
2025-11-20,Waitrose,Groceries,-15.06,1850.49
2025-11-20,Costa Coffee,Eating Out,-3.98,1846.51
2025-11-20,Cote Brasserie,Eating Out,-49.41,1797.10
2025-11-21,Sainsbury's Local,Groceries,-70.89,1726.21
2025-11-21,Pret A Manger,Eating Out,-3.82,1722.39
2025-11-21,Franco Manca,Eating Out,-63.81,1658.58
2025-11-21,WHSmith,Shopping,-96.31,1562.27
2025-11-24,TFL CONTACTLESS,Transport,-5.33,1556.94
2025-11-24,Monmouth Coffee,Eating Out,-4.39,1552.55
2025-11-25,TFL CONTACTLESS,Transport,-4.42,1548.13
2025-11-25,ATM WITHDRAWAL,Cash,-61.14,1486.99
2025-11-26,TFL CONTACTLESS,Transport,-7.07,1479.92
2025-11-26,UBER *TRIP,Transport,-20.46,1459.46
2025-11-26,M&S Simply Food,Groceries,-79.65,1379.81
2025-11-27,SALARY - MCKINSEY & COMPANY,Income,5161.77,6541.58
2025-11-27,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,6041.58
2025-11-27,TFL CONTACTLESS,Transport,-5.36,6036.22
2025-11-27,Waitrose,Groceries,-12.10,6024.12
2025-11-27,Murdock London Barbers,Personal Care,-38.00,5986.12
2025-11-28,TFL CONTACTLESS,Transport,-5.84,5980.28
2025-11-28,WHSmith,Shopping,-35.01,5945.27
2025-11-29,UBER *TRIP,Transport,-33.78,5911.49
2025-11-30,Pret A Manger,Eating Out,-5.38,5906.11
