Date,Description,Category,Amount,Balance
2025-12-01,STANDING ORDER - LANDLORD J SMITH,Rent,-1850.00,4375.77
2025-12-01,The Times Digital,Subscriptions,-26.00,4349.77
2025-12-02,DIRECT DEBIT - AVIVA INSURANCE,Insurance,-39.33,4310.44
2025-12-02,TFL CONTACTLESS,Transport,-7.36,4303.08
2025-12-02,Tesco Superstore,Groceries,-69.68,4233.40
2025-12-03,Netflix,Subscriptions,-15.99,4217.41
2025-12-03,Sainsbury's,Groceries,-20.32,4197.09
2025-12-03,Pret A Manger,Eating Out,-5.11,4191.98
2025-12-03,The Eagle,Eating Out,-44.99,4146.99
2025-12-03,WHSmith,Shopping,-79.94,4067.05
2025-12-03,British Red Cross DD,Charity,-15.00,4052.05
2025-12-04,DIRECT DEBIT - CAMDEN COUNCIL TAX,Bills,-154.48,3897.57
2025-12-04,Spotify Premium,Subscriptions,-10.99,3886.58
2025-12-04,Caffe Nero,Eating Out,-4.55,3882.03
2025-12-04,Dishoom,Eating Out,-55.15,3826.88
2025-12-05,TFL CONTACTLESS,Transport,-5.29,3821.59
2025-12-05,Monmouth Coffee,Eating Out,-3.51,3818.08
2025-12-05,Pret A Manger,Eating Out,-34.96,3783.12
2025-12-05,ASOS,Shopping,-60.17,3722.95
2025-12-06,DIRECT DEBIT - BT BROADBAND,Bills,-42.00,3680.95
2025-12-07,TFL CONTACTLESS,Transport,-5.08,3675.87
2025-12-07,Ottolenghi,Eating Out,-35.34,3640.53
2025-12-08,Starbucks,Eating Out,-5.03,3635.50
2025-12-09,TFL CONTACTLESS,Transport,-5.31,3630.19
2025-12-09,Tesco Express,Groceries,-18.99,3611.20
2025-12-09,Costa Coffee,Eating Out,-5.79,3605.41
2025-12-09,Selfridges,Gifts,-104.38,3501.03
2025-12-10,Amazon Prime,Subscriptions,-8.99,3492.04
2025-12-10,TFL CONTACTLESS,Transport,-8.25,3483.79
2025-12-10,UBER *TRIP,Transport,-25.86,3457.93
2025-12-10,The Eagle,Eating Out,-29.35,3428.58
2025-12-10,John Lewis,Gifts,-87.82,3340.76
2025-12-11,TFL CONTACTLESS,Transport,-4.73,3336.03
2025-12-11,Starbucks,Eating Out,-5.00,3331.03
2025-12-12,TFL CONTACTLESS,Transport,-3.86,3327.17
2025-12-12,Tesco Superstore,Groceries,-60.21,3266.96
2025-12-12,Caffe Nero,Eating Out,-3.72,3263.24
2025-12-13,TFL CONTACTLESS,Transport,-6.74,3256.50
2025-12-13,Waitrose,Groceries,-10.68,3245.82
2025-12-13,Costa Coffee,Eating Out,-5.42,3240.40
2025-12-15,DIRECT DEBIT - THAMES WATER,Bills,-28.37,3212.03
2025-12-15,DIRECT DEBIT - THREE MOBILE,Bills,-28.00,3184.03
2025-12-15,UBER *TRIP,Transport,-21.80,3162.23
2025-12-15,Caffe Nero,Eating Out,-3.65,3158.58
2025-12-16,TFL CONTACTLESS,Transport,-4.89,3153.69
2025-12-17,TFL CONTACTLESS,Transport,-7.34,3146.35
2025-12-17,Caffe Nero,Eating Out,-5.79,3140.56
2025-12-17,Timpson Dry Cleaning,Services,-14.45,3126.11
2025-12-17,Amazon.co.uk,Gifts,-130.74,2995.37
2025-12-18,DIRECT DEBIT - OCTOPUS ENERGY,Bills,-152.22,2843.15
2025-12-18,TFL CONTACTLESS,Transport,-4.32,2838.83
2025-12-18,Amazon.co.uk,Gifts,-40.65,2798.18
2025-12-19,PureGym Direct Debit,Health & Fitness,-29.99,2768.19
2025-12-19,Starbucks,Eating Out,-4.94,2763.25
2025-12-19,WHSmith,Shopping,-22.37,2740.88
2025-12-21,TFL CONTACTLESS,Transport,-3.27,2737.61
2025-12-21,Tesco Express,Groceries,-26.17,2711.44
2025-12-22,UBER *TRIP,Transport,-27.86,2683.58
2025-12-22,Sainsbury's,Groceries,-36.21,2647.37
2025-12-23,Selfridges,Gifts,-68.25,2579.12
2025-12-25,Pret A Manger,Eating Out,-4.63,2574.49
2025-12-26,SALARY - MCKINSEY & COMPANY,Income,5296.16,7870.65
2025-12-26,TRANSFER TO SAVINGS ACCOUNT,Savings,-500.00,7370.65
2025-12-26,TFL CONTACTLESS,Transport,-5.22,7365.43
2025-12-26,Waitrose,Groceries,-81.11,7284.32
2025-12-26,Franco Manca,Eating Out,-24.10,7260.22
2025-12-27,TFL CONTACTLESS,Transport,-5.25,7254.97
2025-12-27,Boots,Shopping,-93.99,7160.98
2025-12-28,TFL CONTACTLESS,Transport,-8.47,7152.51
2025-12-29,TFL CONTACTLESS,Transport,-3.83,7148.68
2025-12-29,Starbucks,Eating Out,-5.52,7143.16
2025-12-30,TFL CONTACTLESS,Transport,-4.47,7138.69
2025-12-30,Tesco Express,Groceries,-54.59,7084.10
2025-12-30,Costa Coffee,Eating Out,-5.05,7079.05
2025-12-31,TFL CONTACTLESS,Transport,-3.38,7075.67
2025-12-31,Costa Coffee,Eating Out,-5.26,7070.41
